instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day,year,bike_recommendation
4016,2011-06-21,3,0,6,5,0,2,1,2,0.6,0.5455,0.88,0.1343,3,22,25,Tuesday,2011,TIDAK
4017,2011-06-21,3,0,6,6,0,2,1,2,0.6,0.5455,0.88,0.1343,8,107,115,Tuesday,2011,TIDAK
4018,2011-06-21,3,0,6,7,0,2,1,2,0.6,0.5152,0.94,0.0,21,288,309,Tuesday,2011,TIDAK
4019,2011-06-21,3,0,6,8,0,2,1,2,0.62,0.5606,0.88,0.1045,33,368,401,Tuesday,2011,TIDAK
4020,2011-06-21,3,0,6,9,0,2,1,2,0.62,0.5606,0.88,0.2537,32,243,275,Tuesday,2011,TIDAK
4021,2011-06-21,3,0,6,10,0,2,1,2,0.64,0.5758,0.83,0.194,41,120,161,Tuesday,2011,TIDAK
4022,2011-06-21,3,0,6,11,0,2,1,1,0.66,0.6061,0.83,0.1642,52,119,171,Tuesday,2011,TIDAK
4023,2011-06-21,3,0,6,12,0,2,1,1,0.7,0.6667,0.74,0.1642,40,149,189,Tuesday,2011,YA
4024,2011-06-21,3,0,6,13,0,2,1,1,0.74,0.697,0.66,0.1642,49,158,207,Tuesday,2011,TIDAK
4025,2011-06-21,3,0,6,14,0,2,1,1,0.76,0.7121,0.62,0.2239,44,108,152,Tuesday,2011,TIDAK
4026,2011-06-21,3,0,6,15,0,2,1,1,0.78,0.7424,0.59,0.2537,42,128,170,Tuesday,2011,TIDAK
4027,2011-06-21,3,0,6,16,0,2,1,1,0.8,0.7727,0.59,0.2239,62,273,335,Tuesday,2011,TIDAK
4028,2011-06-21,3,0,6,17,0,2,1,1,0.78,0.7576,0.66,0.2239,65,507,572,Tuesday,2011,TIDAK
4029,2011-06-21,3,0,6,18,0,2,1,2,0.76,0.7273,0.7,0.2537,67,469,536,Tuesday,2011,TIDAK
4030,2011-06-21,3,0,6,19,0,2,1,2,0.74,0.7121,0.74,0.2239,67,358,425,Tuesday,2011,TIDAK
4031,2011-06-21,3,0,6,20,0,2,1,3,0.74,0.697,0.7,0.2239,72,254,326,Tuesday,2011,TIDAK
4032,2011-06-21,3,0,6,21,0,2,1,1,0.72,0.697,0.74,0.194,38,191,229,Tuesday,2011,TIDAK
4033,2011-06-21,3,0,6,22,0,2,1,1,0.7,0.6667,0.79,0.1045,12,97,109,Tuesday,2011,YA
4034,2011-06-21,3,0,6,23,0,2,1,1,0.7,0.6667,0.74,0.1045,11,53,64,Tuesday,2011,YA
4035,2011-06-22,3,0,6,0,0,3,1,1,0.66,0.6061,0.78,0.194,15,18,33,Wednesday,2011,YA
4036,2011-06-22,3,0,6,1,0,3,1,1,0.66,0.6061,0.78,0.1343,2,19,21,Wednesday,2011,YA
4037,2011-06-22,3,0,6,2,0,3,1,1,0.66,0.6061,0.78,0.0,2,5,7,Wednesday,2011,YA
4038,2011-06-22,3,0,6,3,0,3,1,1,0.66,0.6061,0.78,0.1343,0,7,7,Wednesday,2011,YA
4039,2011-06-22,3,0,6,4,0,3,1,1,0.64,0.5758,0.83,0.0,3,8,11,Wednesday,2011,TIDAK
4040,2011-06-22,3,0,6,5,0,3,1,1,0.64,0.5758,0.89,0.0,2,21,23,Wednesday,2011,TIDAK
4041,2011-06-22,3,0,6,6,0,3,1,1,0.66,0.6061,0.83,0.0,12,110,122,Wednesday,2011,TIDAK
4042,2011-06-22,3,0,6,7,0,3,1,1,0.7,0.6667,0.79,0.0,23,288,311,Wednesday,2011,YA
4043,2011-06-22,3,0,6,8,0,3,1,1,0.72,0.697,0.74,0.1045,27,396,423,Wednesday,2011,TIDAK
4044,2011-06-22,3,0,6,9,0,3,1,1,0.72,0.697,0.79,0.1642,14,205,219,Wednesday,2011,TIDAK
4045,2011-06-22,3,0,6,10,0,3,1,1,0.74,0.697,0.7,0.2537,31,104,135,Wednesday,2011,TIDAK
4046,2011-06-22,3,0,6,11,0,3,1,1,0.74,0.697,0.7,0.1642,37,108,145,Wednesday,2011,TIDAK
4047,2011-06-22,3,0,6,12,0,3,1,2,0.8,0.7727,0.59,0.2239,44,144,188,Wednesday,2011,TIDAK
4048,2011-06-22,3,0,6,13,0,3,1,2,0.82,0.7879,0.56,0.2537,34,113,147,Wednesday,2011,TIDAK
4049,2011-06-22,3,0,6,14,0,3,1,2,0.82,0.7727,0.52,0.2836,32,113,145,Wednesday,2011,TIDAK
4050,2011-06-22,3,0,6,15,0,3,1,2,0.82,0.7879,0.56,0.2836,32,114,146,Wednesday,2011,TIDAK
4051,2011-06-22,3,0,6,16,0,3,1,2,0.82,0.803,0.59,0.3284,34,224,258,Wednesday,2011,TIDAK
4052,2011-06-22,3,0,6,17,0,3,1,2,0.8,0.7576,0.55,0.3881,67,462,529,Wednesday,2011,TIDAK
4053,2011-06-22,3,0,6,18,0,3,1,2,0.8,0.7727,0.59,0.2537,66,447,513,Wednesday,2011,TIDAK
4054,2011-06-22,3,0,6,19,0,3,1,2,0.8,0.7424,0.52,0.2537,62,280,342,Wednesday,2011,TIDAK
4055,2011-06-22,3,0,6,20,0,3,1,1,0.74,0.7121,0.74,0.1343,52,230,282,Wednesday,2011,TIDAK
4056,2011-06-22,3,0,6,21,0,3,1,1,0.74,0.7121,0.79,0.1642,31,216,247,Wednesday,2011,TIDAK
4057,2011-06-22,3,0,6,22,0,3,1,2,0.72,0.697,0.79,0.194,25,123,148,Wednesday,2011,TIDAK
4058,2011-06-22,3,0,6,23,0,3,1,2,0.72,0.697,0.79,0.2239,14,91,105,Wednesday,2011,TIDAK
4059,2011-06-23,3,0,6,0,0,4,1,1,0.72,0.697,0.79,0.2239,5,44,49,Thursday,2011,TIDAK
4060,2011-06-23,3,0,6,1,0,4,1,1,0.72,0.697,0.74,0.2239,5,26,31,Thursday,2011,TIDAK
4061,2011-06-23,3,0,6,2,0,4,1,1,0.72,0.697,0.74,0.2239,0,4,4,Thursday,2011,TIDAK
4062,2011-06-23,3,0,6,3,0,4,1,2,0.72,0.697,0.74,0.1642,1,4,5,Thursday,2011,TIDAK
4063,2011-06-23,3,0,6,4,0,4,1,2,0.7,0.6667,0.79,0.1343,0,7,7,Thursday,2011,YA
4064,2011-06-23,3,0,6,5,0,4,1,1,0.72,0.697,0.74,0.1642,2,22,24,Thursday,2011,TIDAK
4065,2011-06-23,3,0,6,6,0,4,1,1,0.72,0.697,0.74,0.1642,8,92,100,Thursday,2011,TIDAK
4066,2011-06-23,3,0,6,7,0,4,1,2,0.72,0.697,0.74,0.1343,26,301,327,Thursday,2011,TIDAK
4067,2011-06-23,3,0,6,8,0,4,1,2,0.74,0.697,0.7,0.194,20,412,432,Thursday,2011,TIDAK
4068,2011-06-23,3,0,6,9,0,4,1,2,0.74,0.697,0.7,0.1343,33,194,227,Thursday,2011,TIDAK
4069,2011-06-23,3,0,6,10,0,4,1,2,0.76,0.7273,0.66,0.1343,39,88,127,Thursday,2011,TIDAK
4070,2011-06-23,3,0,6,11,0,4,1,3,0.76,0.7273,0.66,0.2537,28,108,136,Thursday,2011,TIDAK
4071,2011-06-23,3,0,6,12,0,4,1,2,0.76,0.7273,0.66,0.2836,30,130,160,Thursday,2011,TIDAK
4072,2011-06-23,3,0,6,13,0,4,1,2,0.76,0.7121,0.62,0.2836,37,149,186,Thursday,2011,TIDAK
4073,2011-06-23,3,0,6,14,0,4,1,2,0.76,0.7273,0.66,0.2985,46,103,149,Thursday,2011,TIDAK
4074,2011-06-23,3,0,6,15,0,4,1,2,0.76,0.697,0.52,0.3582,62,127,189,Thursday,2011,TIDAK
4075,2011-06-23,3,0,6,16,0,4,1,2,0.74,0.6818,0.62,0.2985,58,217,275,Thursday,2011,TIDAK
4076,2011-06-23,3,0,6,17,0,4,1,2,0.72,0.6818,0.7,0.3582,74,495,569,Thursday,2011,TIDAK
4077,2011-06-23,3,0,6,18,0,4,1,1,0.72,0.6818,0.7,0.4179,57,483,540,Thursday,2011,TIDAK
4078,2011-06-23,3,0,6,19,0,4,1,1,0.72,0.6818,0.7,0.3582,56,344,400,Thursday,2011,TIDAK
4079,2011-06-23,3,0,6,20,0,4,1,1,0.7,0.6667,0.74,0.2239,75,277,352,Thursday,2011,YA
4080,2011-06-23,3,0,6,21,0,4,1,1,0.7,0.6667,0.74,0.194,46,188,234,Thursday,2011,YA
4081,2011-06-23,3,0,6,22,0,4,1,2,0.7,0.6667,0.74,0.2239,23,139,162,Thursday,2011,YA
4082,2011-06-23,3,0,6,23,0,4,1,1,0.7,0.6667,0.74,0.2836,15,90,105,Thursday,2011,YA
4083,2011-06-24,3,0,6,0,0,5,1,1,0.68,0.6364,0.79,0.194,10,53,63,Friday,2011,YA
4084,2011-06-24,3,0,6,1,0,5,1,1,0.66,0.6061,0.83,0.3284,8,20,28,Friday,2011,TIDAK
4085,2011-06-24,3,0,6,2,0,5,1,1,0.66,0.6061,0.83,0.3284,4,10,14,Friday,2011,TIDAK
4086,2011-06-24,3,0,6,3,0,5,1,1,0.66,0.6061,0.83,0.1642,1,4,5,Friday,2011,TIDAK
4087,2011-06-24,3,0,6,4,0,5,1,1,0.66,0.6061,0.83,0.0896,1,8,9,Friday,2011,TIDAK
4088,2011-06-24,3,0,6,5,0,5,1,1,0.64,0.5758,0.89,0.0896,2,18,20,Friday,2011,TIDAK
4089,2011-06-24,3,0,6,6,0,5,1,1,0.66,0.6061,0.83,0.1343,4,87,91,Friday,2011,TIDAK
4090,2011-06-24,3,0,6,7,0,5,1,2,0.66,0.6061,0.83,0.2239,21,247,268,Friday,2011,TIDAK
4091,2011-06-24,3,0,6,8,0,5,1,1,0.7,0.6667,0.74,0.2239,27,439,466,Friday,2011,YA
4092,2011-06-24,3,0,6,9,0,5,1,1,0.74,0.6818,0.62,0.1343,28,203,231,Friday,2011,TIDAK
4093,2011-06-24,3,0,6,10,0,5,1,1,0.8,0.7273,0.43,0.2836,43,102,145,Friday,2011,TIDAK
4094,2011-06-24,3,0,6,11,0,5,1,1,0.8,0.7121,0.38,0.3284,56,147,203,Friday,2011,TIDAK
4095,2011-06-24,3,0,6,12,0,5,1,1,0.8,0.7121,0.41,0.2836,51,150,201,Friday,2011,TIDAK
4096,2011-06-24,3,0,6,13,0,5,1,1,0.8,0.7121,0.36,0.2239,43,178,221,Friday,2011,TIDAK
4097,2011-06-24,3,0,6,14,0,5,1,1,0.78,0.697,0.43,0.2836,67,162,229,Friday,2011,TIDAK
4098,2011-06-24,3,0,6,15,0,5,1,1,0.82,0.7273,0.34,0.3881,69,147,216,Friday,2011,TIDAK
4099,2011-06-24,3,0,6,16,0,5,1,1,0.8,0.697,0.33,0.4179,80,247,327,Friday,2011,TIDAK
4100,2011-06-24,3,0,6,17,0,5,1,1,0.76,0.6667,0.37,0.2537,85,472,557,Friday,2011,TIDAK
4101,2011-06-24,3,0,6,18,0,5,1,1,0.76,0.6667,0.37,0.2985,87,365,452,Friday,2011,TIDAK
4102,2011-06-24,3,0,6,19,0,5,1,1,0.74,0.6515,0.4,0.2239,92,293,385,Friday,2011,TIDAK
4103,2011-06-24,3,0,6,20,0,5,1,1,0.72,0.6515,0.45,0.1642,66,222,288,Friday,2011,TIDAK
4104,2011-06-24,3,0,6,21,0,5,1,1,0.7,0.6515,0.48,0.1343,50,183,233,Friday,2011,YA
4105,2011-06-24,3,0,6,22,0,5,1,1,0.7,0.6515,0.48,0.0,41,126,167,Friday,2011,YA
4106,2011-06-24,3,0,6,23,0,5,1,1,0.68,0.6364,0.51,0.1343,33,139,172,Friday,2011,YA
4107,2011-06-25,3,0,6,0,0,6,0,1,0.68,0.6364,0.47,0.1642,19,97,116,Saturday,2011,YA
4108,2011-06-25,3,0,6,1,0,6,0,1,0.66,0.6212,0.5,0.1642,20,75,95,Saturday,2011,YA
4109,2011-06-25,3,0,6,2,0,6,0,2,0.66,0.6212,0.5,0.194,8,51,59,Saturday,2011,YA
4110,2011-06-25,3,0,6,3,0,6,0,1,0.64,0.6212,0.57,0.194,18,21,39,Saturday,2011,YA
4111,2011-06-25,3,0,6,4,0,6,0,1,0.64,0.6212,0.57,0.194,7,4,11,Saturday,2011,YA
4112,2011-06-25,3,0,6,5,0,6,0,1,0.62,0.6061,0.61,0.1343,6,8,14,Saturday,2011,YA
4113,2011-06-25,3,0,6,6,0,6,0,1,0.64,0.6212,0.57,0.2239,12,17,29,Saturday,2011,YA
4114,2011-06-25,3,0,6,7,0,6,0,1,0.64,0.6212,0.57,0.2836,7,35,42,Saturday,2011,YA
4115,2011-06-25,3,0,6,8,0,6,0,1,0.7,0.6515,0.48,0.2537,27,85,112,Saturday,2011,YA
4116,2011-06-25,3,0,6,9,0,6,0,1,0.72,0.6515,0.45,0.2537,47,139,186,Saturday,2011,TIDAK
4117,2011-06-25,3,0,6,10,0,6,0,1,0.72,0.6515,0.45,0.194,99,203,302,Saturday,2011,TIDAK
4118,2011-06-25,3,0,6,11,0,6,0,1,0.74,0.6667,0.42,0.0,122,209,331,Saturday,2011,TIDAK
4119,2011-06-25,3,0,6,12,0,6,0,1,0.74,0.6515,0.4,0.2836,140,252,392,Saturday,2011,TIDAK
4120,2011-06-25,3,0,6,13,0,6,0,1,0.74,0.6515,0.4,0.2836,140,231,371,Saturday,2011,TIDAK
4121,2011-06-25,3,0,6,14,0,6,0,1,0.74,0.6667,0.45,0.2985,151,232,383,Saturday,2011,TIDAK
4122,2011-06-25,3,0,6,15,0,6,0,1,0.74,0.6667,0.45,0.0,157,235,392,Saturday,2011,TIDAK
4123,2011-06-25,3,0,6,16,0,6,0,1,0.76,0.6818,0.43,0.2985,175,235,410,Saturday,2011,TIDAK
4124,2011-06-25,3,0,6,17,0,6,0,1,0.74,0.6667,0.42,0.2239,152,247,399,Saturday,2011,TIDAK
4125,2011-06-25,3,0,6,18,0,6,0,1,0.72,0.6515,0.45,0.2537,108,199,307,Saturday,2011,TIDAK
4126,2011-06-25,3,0,6,19,0,6,0,1,0.72,0.6667,0.48,0.2836,121,254,375,Saturday,2011,TIDAK
4127,2011-06-25,3,0,6,20,0,6,0,1,0.7,0.6515,0.48,0.194,74,195,269,Saturday,2011,YA
4128,2011-06-25,3,0,6,21,0,6,0,1,0.68,0.6364,0.51,0.1642,62,140,202,Saturday,2011,YA
4129,2011-06-25,3,0,6,22,0,6,0,1,0.68,0.6364,0.47,0.194,61,126,187,Saturday,2011,YA
4130,2011-06-25,3,0,6,23,0,6,0,2,0.66,0.6212,0.5,0.2985,49,130,179,Saturday,2011,YA
4131,2011-06-26,3,0,6,0,0,0,0,1,0.64,0.6212,0.53,0.0,30,85,115,Sunday,2011,YA
4132,2011-06-26,3,0,6,1,0,0,0,1,0.64,0.6212,0.53,0.1045,17,73,90,Sunday,2011,YA
4133,2011-06-26,3,0,6,2,0,0,0,1,0.62,0.6212,0.57,0.1045,17,70,87,Sunday,2011,YA
4134,2011-06-26,3,0,6,3,0,0,0,1,0.6,0.6061,0.64,0.1045,12,22,34,Sunday,2011,YA
4135,2011-06-26,3,0,6,4,0,0,0,1,0.6,0.6061,0.64,0.0896,3,8,11,Sunday,2011,YA
4136,2011-06-26,3,0,6,5,0,0,0,1,0.6,0.6061,0.64,0.0,3,9,12,Sunday,2011,YA
4137,2011-06-26,3,0,6,6,0,0,0,1,0.6,0.6061,0.64,0.0,7,13,20,Sunday,2011,YA
4138,2011-06-26,3,0,6,7,0,0,0,1,0.62,0.6061,0.61,0.0,24,27,51,Sunday,2011,YA
4139,2011-06-26,3,0,6,8,0,0,0,1,0.64,0.6212,0.61,0.194,29,78,107,Sunday,2011,YA
4140,2011-06-26,3,0,6,9,0,0,0,1,0.66,0.6212,0.54,0.0896,75,131,206,Sunday,2011,YA
4141,2011-06-26,3,0,6,10,0,0,0,1,0.72,0.6667,0.48,0.1045,136,196,332,Sunday,2011,TIDAK
4142,2011-06-26,3,0,6,11,0,0,0,1,0.72,0.6515,0.45,0.1343,127,219,346,Sunday,2011,TIDAK
4143,2011-06-26,3,0,6,12,0,0,0,1,0.74,0.6515,0.4,0.1642,175,268,443,Sunday,2011,TIDAK
4144,2011-06-26,3,0,6,13,0,0,0,1,0.74,0.6515,0.4,0.0,197,245,442,Sunday,2011,TIDAK
4145,2011-06-26,3,0,6,14,0,0,0,1,0.74,0.6515,0.4,0.1343,197,246,443,Sunday,2011,TIDAK
4146,2011-06-26,3,0,6,15,0,0,0,1,0.74,0.6515,0.4,0.0,174,229,403,Sunday,2011,TIDAK
4147,2011-06-26,3,0,6,16,0,0,0,1,0.74,0.6667,0.42,0.194,177,278,455,Sunday,2011,TIDAK
4148,2011-06-26,3,0,6,17,0,0,0,2,0.72,0.6515,0.42,0.1642,178,243,421,Sunday,2011,TIDAK
4149,2011-06-26,3,0,6,18,0,0,0,2,0.72,0.6515,0.45,0.2537,117,265,382,Sunday,2011,TIDAK
4150,2011-06-26,3,0,6,19,0,0,0,2,0.72,0.6667,0.48,0.1343,89,228,317,Sunday,2011,TIDAK
4151,2011-06-26,3,0,6,20,0,0,0,2,0.7,0.6515,0.48,0.1045,55,158,213,Sunday,2011,YA
4152,2011-06-26,3,0,6,21,0,0,0,2,0.7,0.6515,0.54,0.1045,48,135,183,Sunday,2011,YA
4153,2011-06-26,3,0,6,22,0,0,0,1,0.7,0.6515,0.51,0.0,19,95,114,Sunday,2011,YA
4154,2011-06-26,3,0,6,23,0,0,0,1,0.7,0.6515,0.54,0.0896,14,64,78,Sunday,2011,YA
4155,2011-06-27,3,0,6,0,0,1,1,3,0.64,0.6061,0.73,0.2836,7,25,32,Monday,2011,TIDAK
4156,2011-06-27,3,0,6,1,0,1,1,2,0.62,0.5909,0.78,0.1343,4,11,15,Monday,2011,YA
4157,2011-06-27,3,0,6,2,0,1,1,3,0.62,0.5909,0.78,0.1343,3,3,6,Monday,2011,TIDAK
4158,2011-06-27,3,0,6,3,0,1,1,3,0.62,0.5909,0.78,0.1343,0,2,2,Monday,2011,TIDAK
4159,2011-06-27,3,0,6,4,0,1,1,2,0.6,0.5606,0.83,0.1642,1,8,9,Monday,2011,TIDAK
4160,2011-06-27,3,0,6,5,0,1,1,2,0.62,0.5758,0.83,0.1642,1,21,22,Monday,2011,TIDAK
4161,2011-06-27,3,0,6,6,0,1,1,2,0.62,0.5909,0.78,0.1642,4,90,94,Monday,2011,YA
4162,2011-06-27,3,0,6,7,0,1,1,2,0.64,0.6061,0.73,0.2239,14,247,261,Monday,2011,YA
4163,2011-06-27,3,0,6,8,0,1,1,1,0.66,0.6212,0.74,0.194,29,418,447,Monday,2011,YA
4164,2011-06-27,3,0,6,9,0,1,1,2,0.72,0.6667,0.54,0.0,37,150,187,Monday,2011,TIDAK
4165,2011-06-27,3,0,6,10,0,1,1,2,0.72,0.6667,0.54,0.1343,55,95,150,Monday,2011,TIDAK
4166,2011-06-27,3,0,6,11,0,1,1,2,0.7,0.6515,0.58,0.0,55,95,150,Monday,2011,YA
4167,2011-06-27,3,0,6,12,0,1,1,2,0.72,0.6667,0.54,0.0,40,130,170,Monday,2011,TIDAK
4168,2011-06-27,3,0,6,13,0,1,1,2,0.72,0.6667,0.58,0.2239,37,127,164,Monday,2011,TIDAK
4169,2011-06-27,3,0,6,14,0,1,1,2,0.72,0.6667,0.58,0.0896,58,100,158,Monday,2011,TIDAK
4170,2011-06-27,3,0,6,15,0,1,1,2,0.74,0.6818,0.55,0.0,76,126,202,Monday,2011,TIDAK
4171,2011-06-27,3,0,6,16,0,1,1,1,0.74,0.6818,0.55,0.1045,53,222,275,Monday,2011,TIDAK
4172,2011-06-27,3,0,6,17,0,1,1,1,0.74,0.6818,0.55,0.1343,90,514,604,Monday,2011,TIDAK
4173,2011-06-27,3,0,6,18,0,1,1,1,0.74,0.6667,0.51,0.0,79,512,591,Monday,2011,TIDAK
4174,2011-06-27,3,0,6,19,0,1,1,1,0.72,0.6818,0.62,0.194,56,340,396,Monday,2011,TIDAK
4175,2011-06-27,3,0,6,20,0,1,1,1,0.7,0.6515,0.65,0.1045,54,251,305,Monday,2011,YA
4176,2011-06-27,3,0,6,21,0,1,1,1,0.7,0.6515,0.65,0.0,52,190,242,Monday,2011,YA
4177,2011-06-27,3,0,6,22,0,1,1,1,0.68,0.6364,0.69,0.0,33,112,145,Monday,2011,YA
4178,2011-06-27,3,0,6,23,0,1,1,1,0.68,0.6364,0.69,0.0,16,65,81,Monday,2011,YA
4179,2011-06-28,3,0,6,0,0,2,1,2,0.66,0.6061,0.78,0.1343,5,25,30,Tuesday,2011,YA
4180,2011-06-28,3,0,6,1,0,2,1,1,0.66,0.6212,0.74,0.0,5,8,13,Tuesday,2011,YA
4181,2011-06-28,3,0,6,2,0,2,1,2,0.66,0.6212,0.74,0.0,2,9,11,Tuesday,2011,YA
4182,2011-06-28,3,0,6,3,0,2,1,2,0.66,0.6212,0.74,0.0,0,2,2,Tuesday,2011,YA
4183,2011-06-28,3,0,6,4,0,2,1,1,0.66,0.6212,0.74,0.0,1,7,8,Tuesday,2011,YA
4184,2011-06-28,3,0,6,5,0,2,1,1,0.66,0.6061,0.78,0.0,1,20,21,Tuesday,2011,YA
4185,2011-06-28,3,0,6,6,0,2,1,1,0.66,0.6061,0.83,0.1642,7,117,124,Tuesday,2011,TIDAK
4186,2011-06-28,3,0,6,7,0,2,1,1,0.68,0.6364,0.83,0.194,27,320,347,Tuesday,2011,TIDAK
4187,2011-06-28,3,0,6,8,0,2,1,1,0.7,0.6667,0.79,0.1642,39,417,456,Tuesday,2011,YA
4188,2011-06-28,3,0,6,9,0,2,1,1,0.74,0.697,0.7,0.0,38,208,246,Tuesday,2011,TIDAK
4189,2011-06-28,3,0,6,10,0,2,1,1,0.8,0.7424,0.49,0.1642,45,112,157,Tuesday,2011,TIDAK
4190,2011-06-28,3,0,6,11,0,2,1,1,0.82,0.7576,0.46,0.0,49,118,167,Tuesday,2011,TIDAK
4191,2011-06-28,3,0,6,12,0,2,1,1,0.84,0.7727,0.47,0.2239,41,161,202,Tuesday,2011,TIDAK
4192,2011-06-28,3,0,6,13,0,2,1,1,0.84,0.7576,0.44,0.0,33,156,189,Tuesday,2011,TIDAK
4193,2011-06-28,3,0,6,14,0,2,1,1,0.86,0.7879,0.44,0.2239,43,117,160,Tuesday,2011,TIDAK
4194,2011-06-28,3,0,6,15,0,2,1,1,0.86,0.7879,0.41,0.0,39,127,166,Tuesday,2011,TIDAK
4195,2011-06-28,3,0,6,16,0,2,1,1,0.86,0.803,0.47,0.2836,41,220,261,Tuesday,2011,TIDAK
4196,2011-06-28,3,0,6,17,0,2,1,3,0.82,0.7879,0.56,0.2836,70,509,579,Tuesday,2011,TIDAK
4197,2011-06-28,3,0,6,18,0,2,1,3,0.8,0.7576,0.55,0.2985,68,436,504,Tuesday,2011,TIDAK
4198,2011-06-28,3,0,6,19,0,2,1,2,0.74,0.6818,0.58,0.4627,44,255,299,Tuesday,2011,TIDAK
4199,2011-06-28,3,0,6,20,0,2,1,1,0.74,0.6818,0.62,0.0,50,246,296,Tuesday,2011,TIDAK
4200,2011-06-28,3,0,6,21,0,2,1,1,0.74,0.697,0.66,0.2836,31,164,195,Tuesday,2011,TIDAK
4201,2011-06-28,3,0,6,22,0,2,1,1,0.7,0.6515,0.7,0.2985,30,104,134,Tuesday,2011,YA
4202,2011-06-28,3,0,6,23,0,2,1,1,0.7,0.6515,0.7,0.2836,23,58,81,Tuesday,2011,YA
4203,2011-06-29,3,0,6,0,0,3,1,2,0.68,0.6364,0.79,0.2836,11,25,36,Wednesday,2011,YA
4204,2011-06-29,3,0,6,1,0,3,1,1,0.68,0.6364,0.79,0.2985,10,18,28,Wednesday,2011,YA
4205,2011-06-29,3,0,6,2,0,3,1,1,0.66,0.6061,0.83,0.2239,7,9,16,Wednesday,2011,TIDAK
4206,2011-06-29,3,0,6,3,0,3,1,2,0.66,0.6061,0.83,0.1045,2,3,5,Wednesday,2011,TIDAK
4207,2011-06-29,3,0,6,4,0,3,1,1,0.66,0.6061,0.83,0.1045,0,5,5,Wednesday,2011,TIDAK
4208,2011-06-29,3,0,6,5,0,3,1,1,0.64,0.5758,0.83,0.194,3,19,22,Wednesday,2011,TIDAK
4209,2011-06-29,3,0,6,6,0,3,1,1,0.66,0.6212,0.69,0.2985,12,104,116,Wednesday,2011,YA
4210,2011-06-29,3,0,6,7,0,3,1,1,0.7,0.6515,0.54,0.2239,18,318,336,Wednesday,2011,YA
4211,2011-06-29,3,0,6,8,0,3,1,1,0.7,0.6515,0.48,0.2836,41,499,540,Wednesday,2011,YA
4212,2011-06-29,3,0,6,9,0,3,1,1,0.72,0.6515,0.45,0.3881,32,189,221,Wednesday,2011,TIDAK
4213,2011-06-29,3,0,6,10,0,3,1,1,0.74,0.6667,0.42,0.2836,31,95,126,Wednesday,2011,TIDAK
4214,2011-06-29,3,0,6,11,0,3,1,1,0.76,0.6667,0.35,0.2239,53,117,170,Wednesday,2011,TIDAK
4215,2011-06-29,3,0,6,12,0,3,1,1,0.76,0.6667,0.35,0.2537,55,188,243,Wednesday,2011,TIDAK
4216,2011-06-29,3,0,6,13,0,3,1,1,0.8,0.697,0.31,0.3284,45,186,231,Wednesday,2011,TIDAK
4217,2011-06-29,3,0,6,14,0,3,1,1,0.8,0.697,0.31,0.194,50,138,188,Wednesday,2011,TIDAK
4218,2011-06-29,3,0,6,15,0,3,1,1,0.82,0.7121,0.3,0.1642,43,146,189,Wednesday,2011,TIDAK
4219,2011-06-29,3,0,6,16,0,3,1,1,0.82,0.7121,0.3,0.4179,60,268,328,Wednesday,2011,TIDAK
4220,2011-06-29,3,0,6,17,0,3,1,1,0.82,0.7121,0.26,0.4179,78,492,570,Wednesday,2011,TIDAK
4221,2011-06-29,3,0,6,18,0,3,1,1,0.8,0.697,0.29,0.2985,78,510,588,Wednesday,2011,TIDAK
4222,2011-06-29,3,0,6,19,0,3,1,1,0.76,0.6667,0.35,0.3881,60,341,401,Wednesday,2011,TIDAK
4223,2011-06-29,3,0,6,20,0,3,1,1,0.74,0.6515,0.37,0.2985,69,264,333,Wednesday,2011,TIDAK
4224,2011-06-29,3,0,6,21,0,3,1,1,0.72,0.6515,0.39,0.2239,26,195,221,Wednesday,2011,TIDAK
4225,2011-06-29,3,0,6,22,0,3,1,1,0.7,0.6364,0.42,0.194,32,151,183,Wednesday,2011,YA
4226,2011-06-29,3,0,6,23,0,3,1,1,0.68,0.6364,0.47,0.194,32,97,129,Wednesday,2011,YA
4227,2011-06-30,3,0,6,0,0,4,1,1,0.66,0.6212,0.5,0.1642,15,39,54,Thursday,2011,YA
4228,2011-06-30,3,0,6,1,0,4,1,1,0.64,0.6212,0.53,0.1343,13,19,32,Thursday,2011,YA
4229,2011-06-30,3,0,6,2,0,4,1,1,0.62,0.6212,0.57,0.1343,2,6,8,Thursday,2011,YA
4230,2011-06-30,3,0,6,3,0,4,1,1,0.6,0.6061,0.6,0.1642,2,7,9,Thursday,2011,YA
4231,2011-06-30,3,0,6,4,0,4,1,1,0.58,0.5455,0.64,0.1343,2,4,6,Thursday,2011,YA
4232,2011-06-30,3,0,6,5,0,4,1,1,0.58,0.5455,0.64,0.2537,1,24,25,Thursday,2011,YA
4233,2011-06-30,3,0,6,6,0,4,1,1,0.6,0.6061,0.64,0.2537,4,119,123,Thursday,2011,YA
4234,2011-06-30,3,0,6,7,0,4,1,1,0.62,0.6061,0.61,0.2239,29,291,320,Thursday,2011,YA
4235,2011-06-30,3,0,6,8,0,4,1,1,0.68,0.6364,0.47,0.2239,44,511,555,Thursday,2011,YA
4236,2011-06-30,3,0,6,9,0,4,1,1,0.7,0.6364,0.42,0.2239,33,227,260,Thursday,2011,YA
4237,2011-06-30,3,0,6,10,0,4,1,1,0.72,0.6515,0.42,0.194,35,97,132,Thursday,2011,TIDAK
